index,dBFS
662,-200.00002
663,-78.26753
664,-72.24693
665,-70.30873
666,-73.40677
667,-71.223885
668,-68.72511
669,-72.24693
670,-72.24693
671,-70.30873
672,-72.24693
673,-72.24693
674,-72.24693
675,-72.24693
676,-72.24693
677,-76.32933
678,-70.30873
679,-71.223885
680,-80.766304
681,-70.30873
682,-68.72511
683,-72.24693
684,-72.24693
685,-72.24693
686,-78.26753
687,-73.40677
688,-76.32933
689,-78.26753
690,-69.48088
691,-73.40677
692,-200.00002
693,-69.48088
694,-76.32933
695,-70.30873
696,-73.40677
697,-76.32933
698,-72.24693
699,-72.24693
700,-71.223885
701,-76.32933
702,-72.24693
703,-68.72511
704,-70.30873
705,-74.745705
706,-73.40677
707,-80.766304
708,-73.40677
709,-72.24693
710,-71.223885
711,-78.26753
712,-74.745705
713,-69.48088
714,-76.32933
715,-72.24693
716,-72.24693
717,-71.223885
718,-74.745705
719,-71.223885
720,-68.72511
721,-69.48088
722,-74.745705
723,-70.30873
724,-72.24693
725,-78.26753
726,-74.745705
727,-69.48088
728,-74.745705
729,-74.745705
730,-71.223885
731,-76.32933
732,-71.223885
733,-73.40677
734,-76.32933
735,-73.40677
736,-68.02987
737,-76.32933
738,-90.3087
739,-71.223885
740,-90.3087
741,-71.223885
742,-71.223885
743,-71.223885
744,-78.26753
745,-71.223885
746,-76.32933
747,-70.30873
748,-68.72511
749,-72.24693
750,-71.223885
751,-72.24693
752,-73.40677
753,-72.24693
754,-71.223885
755,-73.40677
756,-76.32933
757,-78.26753
758,-80.766304
759,-72.24693
760,-71.223885
761,-72.24693
762,-76.32933
763,-70.30873
764,-71.223885
765,-73.40677
766,-80.766304
767,-70.30873
768,-72.24693
769,-71.223885
770,-68.72511
771,-70.30873
772,-73.40677
773,-76.32933
774,-74.745705
775,-70.30873
776,-76.32933
777,-73.40677
778,-72.24693
779,-78.26753
780,-72.24693
781,-74.745705
782,-68.72511
783,-72.24693
784,-90.3087
785,-68.72511
786,-200.00002
787,-66.78691
788,-72.24693
789,-74.745705
790,-76.32933
791,-72.24693
792,-74.745705
793,-74.745705
794,-74.745705
795,-69.48088
796,-72.24693
797,-76.32933
798,-73.40677
799,-69.48088
800,-71.223885
801,-70.30873
802,-70.30873
803,-71.223885
804,-71.223885
805,-71.223885
806,-68.72511
807,-200.00002
808,-74.745705
809,-72.24693
810,-76.32933
811,-74.745705
812,-73.40677
813,-68.72511
814,-69.48088
815,-73.40677
816,-74.745705
817,-76.32933
818,-78.26753
819,-80.766304
820,-71.223885
821,-70.30873
822,-73.40677
823,-74.745705
824,-73.40677
825,-76.32933
826,-74.745705
827,-71.223885
828,-69.48088
829,-80.766304
830,-78.26753
831,-68.72511
832,-73.40677
833,-67.38618
834,-71.223885
835,-74.745705
836,-76.32933
837,-72.24693
838,-72.24693
839,-74.745705
840,-70.30873
841,-71.223885
842,-68.72511
843,-70.30873
844,-78.26753
845,-68.72511
846,-72.24693
847,-76.32933
848,-73.40677
849,-74.745705
850,-70.30873
851,-76.32933
852,-80.766304
853,-76.32933
854,-74.745705
855,-70.30873
856,-74.745705
857,-90.3087
